item	id	rating_raw	pred_min	pred	pred_new	pred_new_noLen	pred_new_noSem	pred_new_noDirPP	pred_new_noSem_noDirPP	z.DirObjWordLength	DirObjLettLength	DirectionalPP	Semantics	Variety	VerbPart	gender	native_english	grew_up	grew_up_region	lang_other_eng_bin	lang_other_eng	linguistics_course	education	Response	Variety_ord	Variety_rev_helm	Variety_custom	rating_st	z.DirObjLettLength	rating_c	z.pred_min	education_simple
B5	idb003	11	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	male	NA	India	Vijayawada, Andhra Pradesh	NA	NA	Yes	higher education (bachelor degree)	Discontinuous	IndE	IndE	IndE	-1.0929643399866367	1.2231558930242168	-39	0.3510827450542086	university
B5	idb005	100	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	male	NA	India	NORTH EAST	NA	NA	No	higher education (bachelor degree)	Discontinuous	IndE	IndE	IndE	1.1855969482803126	1.2231558930242168	50	0.3510827450542086	university
B5	idb015	36.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	female	NA	India	Pune in State of Maharashtra	NA	NA	No	higher education (master degree or higher)	Discontinuous	IndE	IndE	IndE	-0.44011812817981405	1.2231558930242168	-13.5	0.3510827450542086	postgraduate
B5	idb001	60	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	female	NA	India	Hyderabad	NA	NA	No	higher education (bachelor degree)	Discontinuous	IndE	IndE	IndE	0.16152445917157143	1.2231558930242168	10	0.3510827450542086	university
B5	idb019	0	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	female	NA	India	Pune	NA	NA	Yes	higher education (bachelor degree)	Discontinuous	IndE	IndE	IndE	-1.3745842744915404	1.2231558930242168	-50	0.3510827450542086	university
B5	idb020	42.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	male	NA	India	Moradabad, Uttar Pradesh	NA	NA	No	higher education (master degree or higher)	Discontinuous	IndE	IndE	IndE	-0.28650725481350287	1.2231558930242168	-7.5	0.3510827450542086	postgraduate
B5	idb021	0	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	female	NA	India	Punjab	NA	NA	Yes	higher education (master degree or higher)	Discontinuous	IndE	IndE	IndE	-1.3745842744915404	1.2231558930242168	-50	0.3510827450542086	postgraduate
B5	idb022	30.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	male	NA	India	Delhi	NA	NA	Yes	higher education (bachelor degree)	Discontinuous	IndE	IndE	IndE	-0.5937290015461253	1.2231558930242168	-19.5	0.3510827450542086	university
B5	idb023	22.5	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	female	NA	India	Delhi	NA	NA	Yes	higher education (bachelor degree)	Discontinuous	IndE	IndE	IndE	-0.7985434993678735	1.2231558930242168	-27.5	0.3510827450542086	university
B5	idb024	73	0.795850369680483	-0.108530218378406	-1.2856086172099306	1.1085955670343504	-1.2517688395954965	-2.1193613614169515	-2.1193613614169515	2.31419939577039	37	yes	non-compositional	IndE	drive away	female	NA	India	Delhi	NA	NA	No	higher education (master degree or higher)	Discontinuous	IndE	IndE	IndE	0.4943480181319123	1.2231558930242168	23	0.3510827450542086	postgraduate
