"","Code","Websites","Webpages","Words"
"UnitedStates","US","82260","275156","386809355"
"Canada","CA","33776","135692","134765381"
"GreatBritain","GB","64351","381841","387615074"
"Ireland","IE","15840","102147","101029231"
"Australia","AU","28881","129244","148208169"
"NewZealand","NZ","14053","82679","81390476"
"India","IN","18618","113765","96430888"
"SriLanka","LK","4208","38389","46583115"
"Pakistan","PK","4955","42769","51367152"
"Bangladesh","BD","5712","45059","39658255"
"Singapore","SG","8339","45459","42974705"
"Malaysia","MY","8966","45601","42420168"
"Philippines","PH","10224","46342","43250093"
"HongKong","HK","8740","43936","40450291"
"SouthAfrica","ZA","10308","45264","45364498"
"Nigeria","NG","4516","37285","42646098"
"Ghana","GH","3616","47351","38768231"
"Kenya","KE","5193","45962","41069085"
"Tanzania","TZ","4575","41356","35169042"
"Jamaica","JM","3488","46748","39663666"
"Total","","340619","1792045","1885632973"
